id,score,category,text
2827,5,positive,"['barang', 'bagusbersihsegar']"
2828,5,positive,['josss']
2829,5,positive,['beautiful']
2830,5,positive,['bagus']
2831,1,negative,"['egg', 'xxss', 'perhati', 'zzk']"
2832,5,positive,"['harga', 'jangkau', 'fresh']"
2833,5,positive,"['oke', 'mantaaaap', 'gan']"
2834,3,neutral,"['kirim', 'sekarang', 'kayak', 'maren', 'cepat']"
2835,5,positive,"['happy', 'belanja', 'segar', 'promo', 'promo']"
2836,1,negative,"['sayang', 'banget', 'jangkau', 'sampai', 'babelan', 'luas', 'lelet', 'sesal']"
2837,5,positive,"['bagus', 'cuman', 'promo', 'buah', 'dibanyakin', 'ya']"
2838,5,positive,['oke']
2839,5,positive,"['kirim', 'cepat']"
2840,2,negative,"['belanja', 'oke', 'banget', 'segar', 'banget', 'barang', 'kecewa', 'respon', 'tanggung', 'belanja', 'masak', 'menu', 'kacau', 'deh', 'minggu', 'coba', 'pesan', 'busuk', 'sayur', 'nyaklu', 'minat']"
2841,5,positive,"['barang', 'fresh', 'kirim', 'cepat', 'sayang', 'potong', 'pas', 'order', 'moga', 'depan', 'vocer']"
2842,5,positive,"['segar', 'is', 'the', 'best', 'kecewa']"
2843,5,positive,['good']
2844,4,positive,"['bintang', 'dulu', 'smntara', 'lumayan', 'diskon', 'karena', 'produk', 'sampai', 'besok']"
2845,5,positive,"['alhamdulillah', 'belanja', 'gari', 'puasbuahnya', 'segar', 'bonus']"
2846,5,positive,['bestt']
2847,5,positive,"['sudah', 'kali', 'belanjasangat', 'memuaskanbuat', 'tagih', 'belanja', 'segar']"
2848,5,positive,"['murah', 'segar', 'bagus', 'banget']"
2849,4,positive,['ptomonya']
2850,5,positive,"['bagus', 'tahan', 'tingkat']"
2851,5,positive,"['puas', 'belanja', 'segaribakal', 'langgan']"
2852,5,positive,"['pesan', 'sesuai', 'order']"
2853,3,neutral,"['promonya', 'hhhh']"
2854,5,positive,"['ok', 'cepat', 'antar']"
2855,5,positive,"['mudah', 'bantu']"
2856,5,positive,"['bantu', 'dalam', 'situasi', 'pandemi']"
2857,4,positive,"['barang', 'bagus', 'kirim', 'cepat']"
2858,5,positive,"['alhmdllh', 'ya', 'download', 'aplikasi', 'segar', 'benar', 'benar', 'memudhkn', 'bgtzz', 'belanja', 'sayur', 'samping', 'enak', 'sayur', 'segar', 'segar', 'bgtzz', 'buah', 'harga', 'relatif', 'murah', 'kok', 'pokok', 'puas', 'deh', 'terima kasih', 'segar', 'next', 'order']"
2859,5,positive,"['puasss', 'belanja', 'segar', 'buah']"
2860,5,positive,"['serta', 'masak', 'makan', 'sehat', 'segar', 'raih', 'sukses', 'segar', 'rahmatunisia', 'mart']"
2861,5,positive,['good']
2862,5,positive,"['segar', 'mantap', 'promonya']"
2863,4,positive,"['bagus', 'ggampang', 'blanja']"
2864,5,positive,"['puas', 'barang', 'fresh', 'daging']"
2865,5,positive,"['barang', 'segar', 'kirim', 'cepat', 'nice', 'app']"
2866,5,positive,"['thanss', 'happy', 'banget', 'belanja', 'gari']"
2867,5,positive,"['buah', 'bagusseneng', 'promo']"
2868,5,positive,"['barang', 'kualitas']"
2869,5,positive,['mantap']
2870,5,positive,"['beeesssttt', 'ajar', 'banget', 'kurma', 'ajwanya', 'bilang', 'asem', 'manis', 'banget', 'daging', 'tebal', 'cinta', 'banget', 'sama', 'segar', 'love']"
2871,5,positive,['muas']
2872,5,positive,"['barang', 'bagus', 'segar', 'kirim', 'juga', 'cepat', 'komplain', 'pesan', 'telat', 'kirim', 'alhamdulillah', 'segar', 'tanggap', 'terima', 'kasih', 'segar', 'moga', 'discount']"
2873,5,positive,"['bantu', 'saya', 'kirim', 'mertua']"
2874,5,positive,"['fresh', 'buah']"
2875,5,positive,"['sayur', 'jaga', 'segar']"
2876,5,positive,"['barang', 'segar', 'cod', 'mantap']"
2877,5,positive,"['benar', 'segeeerrr']"
2878,5,positive,"['jual', 'fresh', 'pokok', 'rugi', 'deh', 'belanja', 'segar', 'untung', 'sudah', 'murah', 'banyak', 'dapat', 'voucher', 'belanja', 'lagi']"
2879,5,positive,"['alhamdulillahbelanja', 'selalu', 'puas']"
2880,5,positive,['nice']
2881,5,positive,"['kali', 'belanja', 'okegk', 'ada', 'masalahbarang', 'disc', 'juga', 'masih', 'ok']"
2882,5,positive,"['lengkap', 'sayur', 'dll', 'tambah', 'lagi', 'semangat', 'belanjany']"
2883,5,positive,['top']
2884,5,positive,"['praktis', 'murahada', 'diskon', 'produk', 'segar']"
2885,5,positive,"['sopan', 'cepat']"
2886,5,positive,['puas']
2887,5,positive,"['andi', 'tangsa']"
2888,4,positive,"['good', 'tingkat', 'kualitas', 'produk', 'layan']"
2889,5,positive,"['mantap', 'segar']"
2890,5,positive,"['pesan', 'masih', 'segar', 'packing', 'rapi', 'kurir', 'juga', 'ramah']"
2891,5,positive,"['good', 'quality']"
2892,5,positive,"['puas', 'blanja']"
2893,5,positive,"['sayur', 'segar', 'packingan', 'rapi', 'harga', 'jangkau']"
2894,5,positive,"['keren', 'banget', 'belanja']"
2895,5,positive,"['baik', 'pokoe', 'kawan']"
2896,5,positive,"['puas', 'layan', 'segaribarang', 'bagus', 'freshterimakasih', 'segar']"
2897,5,positive,"['barang', 'bagus']"
2898,5,positive,[]
2899,5,positive,"['cepat', 'responya', 'cepat', 'pengirimanya', 'bagus', 'barang']"
2900,5,positive,"['barang', 'segar', 'kecewa', 'untung']"
2901,4,positive,"['belanja', 'mudah', 'bahan', 'segar', 'promo']"
2902,5,positive,['good']
2903,5,positive,"['alhamdulillah', 'banyak', 'promo', 'belanja', 'segar', 'harga', 'hemat']"
2904,5,positive,"['murah', 'bagus']"
2905,5,positive,"['pesan', 'sesuai', 'kondisi', 'barang', 'bagus', 'banget', 'puas', 'banget', 'deh', 'belanja', 'segar']"
2906,5,positive,"['buah', 'segar', 'segar']"
2907,5,positive,"['barang', 'fresh', 'alhamdulillah', 'belanja', 'kecewasering', 'promo', 'besarantolong', 'area', 'lagiuntuk', 'bogor', 'area', 'pakai', 'alamat', 'kantorkarena', 'area', 'rumah', 'enggak ada']"
2908,5,positive,['kirim']
2909,5,positive,"['puas', 'deh', 'pakai', 'app', 'segar', 'fast', 'respon', 'fast', 'deliverynya', 'pesan', 'besok', 'pagi', 'deh', 'antar', 'mantap', 'promonya', 'saat', 'harga', 'barang', 'terimakasih', 'admin', 'segar']"
2910,5,positive,"['rekomendasi', 'terimakasih', 'buah', 'sayur', 'segar', 'harga', 'jangkau']"
2911,5,positive,"['pesan', 'segar']"
2912,5,positive,[]
2913,5,positive,"['guna', 'link', 'mudah']"
2914,5,positive,"['barang', 'segar', 'segar', 'harga', 'jangkau']"
2915,5,positive,"['puts', 'belanja', 'segar']"
2916,5,positive,['segar']
2917,5,positive,"['barangy', 'fresh', 'semua', 'terimakasih', 'segar']"
2918,5,positive,"['mudah', 'gampang', 'beda', 'harga', 'terimakasih', 'segar']"
2919,5,positive,"['aku', 'sukabelanjaan', 'kirim', 'segarpengirimannya', 'cepatpokok', 'sukses', 'terus', 'segar']"
2920,5,positive,"['benar', 'benar', 'segar', 'buah', 'nyapertahankan']"
2921,3,neutral,"['barang', 'bagus', 'segar']"
2922,5,positive,"['mantap', 'terima', 'kasih']"
2923,5,positive,['muas']
2924,5,positive,"['terimakasih', 'segar', 'rekokended', 'bgtsemoga', 'promo', 'disc']"
2925,5,positive,['mantap']
2926,5,positive,"['sayur', 'segar']"
2927,5,positive,"['puas', 'banget', 'murah', 'mudah']"
2928,1,negative,"['rata', 'jadetabek', 'tapi', 'domisili', 'kota', 'tangerang', 'kirim', 'cakup', 'payah']"
2929,5,positive,"['kali', 'aplikasi', 'muas', 'kirim', 'cepat', 'produk', 'bagus', 'diskon', 'tingkat', 'kualitas', 'baik', 'terimakasih', 'segar']"
2930,1,negative,"['kali', 'pakai', 'aplikasi', 'segar', 'kecewa', 'atur', 'pengirman', 'tanggal', 'maret', 'jam', 'pagi', 'jam', 'sore', 'niat', 'masak', 'gagal', 'sore', 'call', 'centernya', 'telpon']"
2931,5,positive,"['sayur', 'ayam', 'fresh']"
2932,5,positive,"['mantap', 'benar', 'banget', 'barang', 'rusak', 'langsung', 'ganti', 'terima kasih', 'segar']"
2933,5,positive,"['murah', 'kualitas', 'cakep', 'banget', 'suka', 'deh', 'pokok']"
2934,5,positive,"['puas', 'banget']"
2935,5,positive,['mantaaaaap']
2936,5,positive,"['paking', 'rapi', 'cepat', 'kurir', 'ramah', 'prudoknya', 'bagus', 'kecewa', 'pesan', 'segar', 'nex', 'order', 'lagi']"
2937,5,positive,"['kualitas', 'segar', 'muas']"
2938,5,positive,"['barang', 'fresh', 'cepat', 'kirim', 'harga', 'lumayan', 'murah', 'potong']"
2939,5,positive,"['bagus', 'banget', 'recomendet', 'belanja', 'gari', 'segar', 'daging', 'buah', 'sagur', 'nya', 'cus', 'belanja', 'segar', 'bestie']"
2940,5,positive,"['kirim', 'cepat', 'segar', 'segar']"
2941,5,positive,['keren']
2942,5,positive,"['sangatt', 'okee']"
2943,5,positive,"['belanja', 'segar', 'barang', 'fresh', 'promo', 'gratis', 'ongkir']"
2944,3,neutral,"['kirim', 'lambat', 'produk', 'segar', 'cs', 'selow', 'respon', 'parah', 'tolong', 'baik']"
2945,1,negative,"['kirim', 'telat', 'jam', 'beli', 'daging', 'ikan', 'rusak', 'buang', 'buang', 'tunggu', 'kirim', 'enggak', 'recomended']"
2946,5,positive,"['kali', 'belanja', 'online', 'puas', 'layan', 'enak', 'enggak', 'capek', 'capek', 'pasar', 'tawar', 'segar', 'dapat', 'bonus', 'moga', 'maju', 'sukses', 'segar']"
2947,5,positive,"['barang', 'segar']"
2948,3,neutral,"['segar', 'bandung', 'min']"
2949,5,positive,['ok']
2950,5,positive,"['diskon', 'mantap']"
2951,4,positive,['lumayan']
2952,4,positive,"['bagus', 'barang', 'barang']"
2953,5,positive,"['harga', 'murah', 'pngiriman', 'ssuai']"
2954,4,positive,"['barang', 'kirim', 'segar', 'cuma', 'sayang', 'harus', 'acara', 'antri', 'kirim']"
2955,4,positive,"['barang', 'bagus']"
2956,5,positive,"['bagusmsh', 'segar', 'kualitas', 'bguscpt', 'sampai']"
2957,4,positive,"['telur', 'pecah', 'kirim', 'cepat']"
2958,5,positive,"['puas', 'banget', 'daging', 'segar', 'buah', 'juga']"
2959,5,positive,"['belanja', 'segar', 'muas', 'barang', 'kualitas', 'harga', 'jangkau']"
2960,5,positive,"['mesan', 'kirim', 'mutu', 'barang', 'muas']"
2961,5,positive,"['manttaaapp', 'gen', 'belanja']"
2962,5,positive,"['puas', 'belanja', 'disegarimurah', 'barang', 'segar']"
2963,5,positive,"['segar', 'bagus', 'banget', 'barang']"
2964,5,positive,"['aman', 'blanja', 'terpecaya', 'blanja', 'segar', 'barang', 'promo', 'minyak', 'ini', 'dong', 'segar', 'minyak', 'lagi', 'mahal', 'barang', 'langka', 'ayo', 'dong', 'free', 'minyal', 'panjang', 'free', 'minyak', 'goreng', 'terima', 'kasih', 'segar']"
2965,5,positive,['puas']
2966,5,positive,"['kirim', 'cepat', 'barang', 'fresh', 'admin', 'fast', 'respond', 'recommended', 'banget', 'belanja', 'segar']"
2967,5,positive,['ok']
2968,5,positive,['puas']
2969,5,positive,['vocer']
2970,5,positive,"['jual', 'amanah']"
2971,5,positive,"['kirim', 'cepatpuas', 'belanja', 'segar', 'kurir', 'ramahtolong', 'lengkap', 'produk', 'stok', 'suka', 'habis']"
2972,5,positive,"['sesal', 'deh', 'pesan']"
2973,5,positive,"['barang', 'benar', 'segar', 'top', 'deh', 'segar', 'tahan', 'terus', 'langgan', 'kecewa']"
2974,5,positive,['mantap']
2975,5,positive,"['barang', 'kirim', 'waktu', 'sesuai', 'pesan', 'puas', 'alhamdulillah']"
2976,5,positive,['puas']
2977,5,positive,"['sofar', 'sogood']"
2978,1,negative,"['mohon', 'cs', 'whats', 'up', 'keluh', 'customer', 'transaksi', 'main', 'batal', 'uang', 'kembali', 'respon', 'cs', 'bagaimana', 'aplikasi', 'benar', 'banget', 'amanah']"
2979,2,negative,"['camat', 'camat', 'terdaftarr']"
2980,5,positive,['puas']
2981,5,positive,"['suka', 'aplikasi']"
2982,5,positive,"['belanja', 'segar', 'kualitas', 'buah', 'telur', 'daging', 'frees', 'barang', 'sampai', 'rumah', 'aman', 'langgan', 'segar']"
2983,5,positive,['bagus']
2984,5,positive,['bantu']
2985,5,positive,"['senang', 'belanja', 'segar', 'karena', 'buah', 'sayur', 'daging', 'dll', 'segar', 'murah', 'tinggal', 'tunggu', 'rumah', 'sen', 'dtng', 'good', 'job', 'segar']"
2986,5,positive,"['barang', 'bagus', 'recomended', 'pokok', 'jadi', 'barang', 'tukar', 'dll']"
2987,5,positive,"['puassssbarangnya', 'baguspengiriman', 'cepatkurir', 'ramahmurah', 'lagi']"
2988,5,positive,"['murah', 'segar', 'ekonomis', 'praktis']"
2989,4,positive,"['hadiah', 'prima', 'cuma', 'tulis', 'saja', 'kertas', 'tapi', 'barang', 'mana', 'dapat', 'hadiah', 'deh', 'tapi', 'enggak apa']"
2990,5,positive,[]
2991,5,positive,"['langgan', 'barusaya', 'puasbarangnya', 'baguskurirnya', 'ramah']"
2992,5,positive,"['cepat', 'kirim', 'sesuai']"
2993,5,positive,['senang']
2994,5,positive,"['layan', 'kondisi', 'barang', 'bagus', 'terimakasih', 'segar']"
2995,5,positive,"['muas', 'kirim', 'cepatpacking', 'bagussemua', 'sehatterima', 'kasih']"
2996,4,positive,['bagus']
2997,5,positive,"['alhamdulillah', 'benar', 'kirim', 'barang', 'kualitas', 'buah', 'juga', 'masih', 'bagus', 'segar', 'terima', 'kasih', 'segar']"
2998,5,positive,"['segar', 'segar']"
2999,5,positive,"['respon', 'pesan', 'cepat']"
3000,5,positive,"['senang', 'belanja', 'segar', 'mhn', 'lebih', 'info', 'masyarakat']"
3001,5,positive,['lumayab']
3002,5,positive,"['muraaah', 'diskooon']"
3003,5,positive,['oke']
3004,5,positive,"['suka', 'banget', 'belanja', 'online', 'bagus', 'layan']"
3005,5,positive,[]
3006,5,positive,"['harga', 'murah', 'kualitas', 'murah']"
3007,5,positive,"['aplikasi', 'belanja', 'produk', 'segar', 'recommended', 'buah', 'sayur', 'segar', 'packing', 'oke', 'banget', 'terdebesstttt']"
3008,3,neutral,"['datang', 'pagi', 'kurir', 'ramahbrg', 'bagus', 'kentang', 'bersih', 'kmsan', 'rapi']"
3009,5,positive,"['malam', 'beli', 'promo', 'kadang', 'bonus', 'banana', 'kirim', 'cepat', 'barang', 'segar', 'bagus', 'kemas', 'rapi', 'banget', 'tkasih', 'segar']"
3010,5,positive,"['alhamdulillah', 'respon', 'cs', 'telur', 'pecah', 'langsung', 'ganti', 'begini', 'senang', 'belanja', 'lagi', 'segar']"
3011,4,positive,"['praktis', 'diskonancm', 'cod', 'bisakalo', 'tf', 'mbanking', 'susah', 'belanjavia', 'atm', 'malas', 'keluarcod', 'paling', 'praktis', 'kok', 'bisa']"
3012,5,positive,"['pesan', 'free', 'minyak', 'free', 'notif', 'ayok', 'belanja', 'free', 'barang', 'kemarin', 'belanja', 'freenya', 'kosong', 'saran', 'mending', 'kasih', 'free', 'alas', 'kosong', 'kali', 'kali', 'kena', 'prank', 'kali', 'alas', 'ok', 'terus', 'kasihan', 'customer']"
3013,4,positive,"['hari', 'komitmen']"
3014,5,positive,"['barang', 'bagus']"
3015,5,positive,"['respon', 'bagus', 'barang', 'sesuai', 'pesan']"
3016,5,positive,"['sayur', 'freshkurirny', 'ramah']"
3017,3,neutral,"['kecewa', 'kirim', 'memang', 'order', 'overload', 'armada', 'tambah', 'update', 'kasih', 'voucher', 'bagai', 'kompensasi', 'lambat', 'kirim', 'tanggung']"
3018,5,positive,"['barang', 'segarbanyak', 'pilih', 'promogratis', 'ongkirsiiiip', 'deh', 'pokokx']"
3019,4,positive,"['keren', 'pokok']"
3020,5,positive,"['mudah', 'belanja', 'terimakasih', 'segar']"
3021,5,positive,"['belanja', 'segar', 'alhamdulilah', 'barang', 'bagus', 'tahan', 'kualitas', 'moga', 'diskon']"
3022,5,positive,"['harga', 'murah', 'free', 'ongkir', 'pacing', 'rapi', 'aman', 'guna', 'aplikasi', 'mudah']"
3023,4,positive,['puas']
3024,5,positive,"['proses', 'cepat', 'senang', 'belanja', 'hari']"
3025,5,positive,"['bagus', 'layan', 'baik', 'belah']"
3026,5,positive,"['alhamdulillah', 'mah', 'suka', 'banget', 'aku']"
3027,5,positive,"['barang', 'fresh', 'banget']"
3028,5,positive,"['sayang', 'bonus', 'beli', 'dapat', 'bonus']"
3029,5,positive,['good']
3030,5,positive,"['kirim', 'pesan', 'segaribaik', 'mutu']"
3031,4,positive,['mantap']
3032,5,positive,"['pesan', 'sedia', 'kirim', 'telat', 'eh', 'kasih', 'voucher']"
3033,5,positive,"['buah', 'pesan', 'sesuai', 'buah', 'fresh']"
3034,5,positive,"['banyak', 'diskon', 'gan', 'belanja', 'hehehe']"
3035,1,negative,"['kirim', 'lambat', 'info', 'rider', 'tolong', 'cepat', 'langgan', 'kecewa', 'kecewa']"
3036,5,positive,"['belanja', 'gari', 'jamin', 'segar']"
3037,4,positive,"['sayur', 'ikan', 'buah', 'segar']"
3038,5,positive,"['barang', 'fresh', 'kemas', 'rapi', 'kirim', 'ontime']"
3039,5,positive,"['alhmdllh', 'belanja', 'gari', 'muas', 'sngat', 'murah', 'kualitas', 'juga', 'bagus', 'prthankan', 'ya', 'kasih', 'diakon', 'ya']"
3040,1,negative,['pesan']
3041,3,neutral,"['cibitung', 'sampai', 'kirim', 'segar', 'sampai', 'tinggal', 'cibitung', 'luar', 'jangkau']"
3042,5,positive,"['puas', 'belanja', 'moga', 'tetangga', 'belah']"
3043,5,positive,"['belanja', 'segar', 'puas', 'barang', 'segar', 'ongkir', 'gratis']"
3044,3,neutral,[]
3045,5,positive,"['good', 'pokok']"
3046,5,positive,"['kali', 'belanja', 'segar', 'alhamdulillah', 'puas', 'kualitaspengiriman', 'harga', 'beda', 'sama', 'warung', 'ya', 'segar', 'ada', 'promonya']"
3047,5,positive,"['praktis', 'murah', 'hemat', 'kurang', 'kualitas', 'packing', 'rapi', 'bahan', 'makan', 'fresh', 'promo']"
3048,5,positive,"['terima kasih', 'bantu', 'emak', 'anak', 'repot']"
3049,5,positive,"['pakai', 'muas', 'aplikasi', 'respon', 'moga', 'muas']"
3050,5,positive,"['belanja', 'peraktis', 'tinggal', 'pesan', 'langsung', 'rumah']"
3051,5,positive,"['pesan', 'amanah', 'karena', 'kirim', 'fresh', 'kirim', 'karena', 'mis', 'komunikasi', 'puas']"
3052,4,positive,['lumayan']
3053,4,positive,"['lengkap', 'kondisi', 'produk', 'kirim', 'jam', 'estimasi', 'kardus', 'penyok']"
3054,5,positive,['mantap']
3055,5,positive,"['sesal', 'belanja', 'pakai', 'aplikasi', 'segar', 'kualitas', 'benar', 'topsemua', 'benar', 'fresh']"
3056,5,positive,"['produk', 'kirim', 'sesuai', 'fresh']"
3057,5,positive,"['murah', 'moga', 'tahan']"
3058,5,positive,"['puas', 'belanja', 'segar', 'banyak', 'promonya']"
3059,3,neutral,"['puas', 'pas', 'promo', 'trimakasih', 'segar']"
3060,5,positive,"['sayur', 'segar', 'segar']"
3061,5,positive,['puas']
3062,5,positive,"['produk', 'sayur', 'segar', 'kalau', 'promo', 'bawah', 'harga', 'pasar', 'plus', 'free', 'ongkir', 'belanja', 'lagi', 'lagithx', 'segar']"
3063,5,positive,"['terima kasih', 'segar', 'puas', 'blnj', 'sini', 'nex', 'order', 'lagi']"
3064,5,positive,"['barngnya', 'fresh', 'mantebbbbb']"
3065,5,positive,"['kali', 'pesan', 'gari', 'alhamdulillah', 'barang', 'ok', 'mudah', 'mudah', 'sen', 'barang', 'tetap', 'ok', 'fresh', 'tetap', 'jaga', 'percaya', 'konsumen', 'terimakasih']"
3066,4,positive,"['kali', 'coba', 'puas', 'kok', 'barang', 'juga', 'bagus', 'tahan']"
3067,5,positive,"['puas', 'banget', 'belanja', 'segar', 'harga', 'murah', 'bonus', 'mantap', 'deh', 'tkanks', 'segar']"
3068,5,positive,"['alhamdulillah', 'puas', 'belanja', 'segar', 'dapat', 'promo', 'cuma', 'kendala', 'kirim', 'faktor', 'cuaca', 'lagi', 'hujan', 'overall', 'ribet', 'belanja', 'sayur', 'dll', 'segar']"
3069,5,positive,"['moga', 'kirim', 'lusa', 'dong', 'jasa', 'pengirimannnya']"
3070,5,positive,"['barang', 'segarterimakaih', 'segariharganya', 'murah', 'lainitu', 'penting']"
3071,5,positive,"['suka', 'banget', 'produk', 'fresh', 'emas', 'rapi', 'aman', 'kirim', 'alhamdulillah', 'on', 'time']"
3072,5,positive,"['aplikasi', 'mempe', 'rmudah', 'juga', 'manja', 'maktgl', 'buka', 'hp', 'klik', 'tunggu', 'bareng', 'datang', 'berikutnyakualitas', 'bareng', 'juga', 'super']"
3073,5,positive,['puas']
3074,5,positive,['bagus']
3075,5,positive,['puas']
3076,4,positive,"['barang', 'bagus', 'tapi', 'sayang', 'konfirmasi', 'tentang', 'barang', 'ready', 'telat', 'mohon', 'konfirmasi', 'seblm', 'kirim']"
3077,5,positive,['top']
3078,5,positive,['good']
3079,5,positive,"['puas', 'pokok', 'belanja', 'segar', 'harga', 'jangkau']"
3080,5,positive,"['sayur', 'kualitas', 'bagus', 'fresh', 'segar', 'gari', 'pilih', 'kasih', 'bagus', 'bantu', 'baby', 'indak', 'repot', 'pasar']"
3081,5,positive,"['app', 'bagus', 'bny', 'promo']"
3082,5,positive,['ok']
3083,5,positive,"['barang', 'segarbersihkemasan', 'oke', 'bangetgartis', 'ongkir', 'suka']"
3084,4,positive,"['alhamdulillah', 'puassering', 'discount']"
3085,5,positive,['bangus']
3086,5,positive,"['puas', 'banget']"
3087,5,positive,"['buah', 'daging', 'semua', 'fresh', 'emas', 'juga', 'rapi']"
3088,5,positive,['kualitas']
3089,5,positive,"['segar', 'banget', 'sayur', 'bawang', 'bagus']"
3090,5,positive,"['produk', 'bagus', 'harga', 'sahabat', 'kirim', 'bayar', 'mudah', 'pilih']"
3091,5,positive,"['barang', 'fresh']"
3092,5,positive,"['puas', 'kentang', 'mulus', 'bersih', 'daging', 'packing', 'bagus', 'jaga', 'kualitas', 'segar', 'bawang', 'merah', 'kering', 'tahan', 'tingkat', 'puas', 'langgang']"
3093,5,positive,"['segar', 'semua', 'free', 'ongkir', 'recommended']"
3094,5,positive,['kirim']
3095,5,positive,"['suka', 'banget', 'fresh', 'produk', 'benar', 'benar', 'jaga', 'aman', 'produk', 'jangkau', 'banget', 'harga']"
3096,5,positive,"['cepat', 'smpbuahnya', 'asli', 'segar', 'discount', 'harga']"
3097,5,positive,['puas']
3098,5,positive,"['mantap', 'promonya', 'harga', 'pasar', 'barang', 'lebih', 'fresh', 'belanja', 'tinggal', 'pilih', 'terus', 'antar', 'enaaakkknya']"
3099,5,positive,['bagus']
3100,5,positive,"['barang', 'bagus', 'kirim', 'cepat', 'pokok', 'recomemded']"
3101,5,positive,"['fresh', 'kurir', 'ramah']"
3102,2,negative,"['kecewa', 'barang', 'asih', 'info', 'barang', 'sudah', 'kirim', 'alas', 'kalau', 'stok', 'kosong', 'kenapa', 'pajang', 'order', 'dari', 'kemarin', 'lusa', 'ngabarin', 'gagal', 'krim']"
3103,5,positive,"['kirim', 'cepat', 'kemas', 'rapi']"
3104,5,positive,"['keren', 'packing', 'rapi', 'harga', 'pilih', 'promo', 'kurir', 'ramah']"
3105,1,negative,"['kecewa', 'buang', 'estimasi', 'sampai', 'lewat', 'batas', 'urus', 'ganggu', 'cs', 'balas', 'chat']"
3106,5,positive,"['suka', 'banget', 'belanja', 'gari', 'sayurbuahnya', 'juga', 'ayam', 'daging', 'pokkknya', 'fressh', 'segar', 'suka', 'banget', 'belanja', 'promonya', 'sampai', 'pakai', 'hp', 'keluarga', 'dapat', 'promonya']"
3107,1,negative,"['kecewa', 'dapat', 'voucher', 'refferal', 'enggak bisa', 'mertua', 'order', 'ati', 'ayam', 'lagi', 'datang', 'lagi', 'tiga', 'coba', 'hubung', 'customer', 'servicenya', 'susah', 'via', 'whatsapptelpon', 'tolong', 'kasih', 'solusi', 'customer', 'kecewa']"
3108,1,negative,"['kirim', 'pesan', 'rumah', 'jam', 'stgh', 'sore', 'padahal', 'aplikasi', 'maks', 'jam', 'cust', 'service', 'no', 'respon', 'sampai', 'paket', 'terima', 'hasil', 'sendiri', 'dong', 'barang', 'dipacking', 'dari', 'pagi', 'bawa', 'jalan', 'mana', 'rumah', 'segar', 'barang', 'frozennya', 'cair', 'icepacknya', 'totally', 'air', 'sayur', 'layu', 'kemas', 'bocor', 'banget', 'pokok', 'sesal']"
3109,5,positive,"['barang', 'kualitas', 'bagus', 'kirim', 'cepat']"
3110,5,positive,['okk']
3111,5,positive,[]
3112,5,positive,"['barang', 'cepat', 'datangnyasarannya', 'lacak', 'kirim', 'barang', 'mana', 'kondisi', 'barang', 'ok', 'semuaharga', 'saing']"
3113,5,positive,['good']
3114,5,positive,"['murah', 'kualitas', 'jamin']"
3115,5,positive,"['alhamdulillah', 'amanah', 'toko', 'anter', 'barang', 'belanja', 'kualitas', 'ok']"
3116,4,positive,"['buahproduknya', 'bagus', 'segarpokonya', 'belanja', 'gari', 'puas', 'banget']"
3117,5,positive,"['memper', 'mudah', 'belanja']"
3118,5,positive,[]
3119,5,positive,"['senang', 'belanja', 'segar', 'muas']"
3120,5,positive,"['puas', 'banget']"
3121,5,positive,"['kurir', 'ramah', 'harga', 'sahabat']"
3122,5,positive,"['muas', 'pesan', 'sesuai', 'fresh', 'dari', 'sayur', 'lauk']"
3123,4,positive,"['sayur', 'segar', 'segarterimakasih']"
3124,5,positive,"['barang', 'baguscepat', 'datang', 'bukti', 'ganti', 'rusak']"
3125,5,positive,"['sayur', 'buah', 'benar', 'segar', 'respon', 'cepat', 'kirim', 'cepat', 'pas', 'omicron', 'kirim', 'dapat', 'harga', 'promo', 'thanks', 'segar', 'thanks', 'kurir', 'salam', 'sehat']"
3126,5,positive,"['barang', 'gardan', 'kadang', 'diskon']"
3127,5,positive,['good']
3128,5,positive,"['kualitas', 'barang', 'bagus', 'kirim', 'cepat', 'packaging', 'bagus']"
3129,5,positive,"['buah', 'jamin', 'segar']"
3130,3,neutral,"['barang', 'sesuai', 'pesan', 'free', 'segar']"
3131,5,positive,['diskon']
3132,5,positive,"['jaga', 'kwliatas', 'tahan', 'buah', 'sayur', 'segar']"
3133,5,positive,"['belanja', 'supermarket', 'habis', 'tenaga', 'antar', 'produk', 'beli', 'produk', 'kualitas', 'harga', 'murah', 'terima', 'kasih', 'segar', 'moga', 'maju', 'harga', 'murah']"
3134,5,positive,"['puas', 'banget']"
3135,5,positive,['mantull']
3136,5,positive,"['puas', 'segar', 'mantap']"
3137,5,positive,[]
3138,5,positive,"['puas', 'belanja', 'disegaribanyak', 'promogratis', 'ongkirsayur', 'buah', 'ayam', 'okpaking', 'rapihada', 'garansi', 'produk', 'fresh', 'ok']"
3139,5,positive,"['muas', 'kurir', 'antar', 'ramah', 'hemat', 'produk', 'tangan', 'pelang', 'terimakasih', 'segar']"
3140,5,positive,"['belanja', 'hemat', 'layan', 'cepat', 'barang', 'fresh']"
3141,5,positive,"['saya', 'puas', 'sayurbuahdaging', 'saya', 'pesansemua', 'dalam', 'fresh', 'packaging', 'rapi', 'hygenic']"
3142,4,positive,"['kok', 'enggak', 'dapat', 'gula']"
3143,5,positive,"['enggak', 'ribet', 'pesan', 'kemas', 'rapi', 'free', 'barang', 'free', 'ongkir']"
